img_path,text,width,height
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1089898.jpg,"A bedroom in modern chinese style, sharp, raw photo, high saturation, open_dataset. This image depicts a modern and luxurious bedroom. The style is contemporary with clean lines and neutral color tones. The overall features of the room include light brown walls with darker wood paneling accents, a white ceiling with recessed lighting and a central light fixture, and dark hardwood flooring. 

The main furniture in the room includes a large, comfortable bed with crisp white linens and a brown throw blanket. The bed is flanked by two matching nightstands with elegant table lamps on each side. Across from the bed, there is a flat-screen TV mounted on the wall and a small seating area with two chairs and a table by the window. 

The window is dressed with sheer white curtains that allow natural light to filter through. There are also some decorative elements in the room, such as a vase with white flowers on the table, a painting above the bed, and some small sculptures on the nightstands. The room also has a large area rug under the bed, adding warmth and texture to the space.",1920,1390
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_159046.jpg,"A bedroom in french style, sharp, open_dataset. This is a picture of a spacious bedroom with a classic and elegant style. The room features a high ceiling with intricate crown molding and a grand chandelier in the center. The walls are adorned with a beige and gold floral wallpaper, while the floor is covered in a rich, dark wood flooring.

The main furniture pieces in the room include a large white bed with a decorative headboard, accompanied by two matching nightstands on either side. The bed is dressed in white bedding with floral accents, and there are several decorative pillows placed on top. In front of the bed, there is a white loveseat with a floral pattern, positioned on top of a beige area rug.

Other notable items in the room include a white dresser with a mirror on the far wall, and a purple armchair in the corner. There are also two large windows with sheer white curtains, allowing plenty of natural light to fill the room.

Overall, the room exudes a sense of luxury and sophistication, with carefully chosen furnishings and decor that create a cohesive and inviting space.",1920,1146
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_117671.jpg,"A bedroom in scandinavian style, watermark, rendering, open_dataset. This is a well-lit bedroom with a modern, elegant style. The room features a high ceiling and walls that are painted in a soft beige color, with white trim and detailing. The floor is made of warm-toned hardwood, adding a cozy feel to the space.

The room's focal point is a large, comfortable bed with crisp white linens and multiple plush pillows. The bed is positioned in the center of the room, with a wooden bedside table on its right side. Above the bed hangs a contemporary piece of art featuring blue and white hues, which complements the room's color scheme.

On the left side of the room, there is a spacious wardrobe with white doors, providing ample storage space. Next to the wardrobe sits a charming wooden desk and chair, perfect for reading or working.

The room is illuminated by a stylish chandelier with multiple light bulbs, adding a touch of sophistication. Additionally, there are two wall sconces on either side of the bed, offering a soft, ambient light.

Some minor details in the room include a decorative tray with greenery placed on the bed, a sheer curtain on the window that allows natural light to filter through, and a cozy area rug beneath the bed that ties the room together. Overall, the bedroom exudes a sense of tranquility and comfort, with its tasteful decor and thoughtful layout.",900,823
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1013446.jpg,"A living room in scandinavian style, watermark, rendering, open_dataset. This is a modern living room with a minimalist and contemporary style. The room has a neutral color palette with shades of grey, white, and black.

The walls are painted in a light grey, while the ceiling is white with recessed lighting. The floor is made of shiny white marble, which adds to the room's elegant feel.

The main furniture in the room is a large grey L-shaped sofa, placed in the center facing a black wall-mounted TV cabinet. There is also a black and white patterned ottoman in front of the sofa, which can be used as a coffee table or extra seating.

The TV cabinet has a sleek design with clean lines, and it has some decorative items on it, such as a few books and a small plant.

On the left side of the room, there is a glass display cabinet with black metal framing, which houses some decorative items and books.

The room also features a few decorative pieces, such as a wall clock that says ""YOU'RE HOME"" and a modern chandelier hanging from the ceiling. There are also a couple of throw pillows on the sofa with a blue and white geometric pattern.

Overall, the room has a sophisticated and polished look, with a focus on clean lines and a simple color scheme.",1780,1001
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_142758.jpg,"A living room in scandinavian style, watermark, open_dataset. This picture depicts a modern living room with a minimalist style. The room features an open floor plan with plenty of natural light coming in through large windows. The walls are painted in a neutral white color, and the ceiling is a simple flat design with recessed lighting. The flooring is a light wood, adding warmth to the space.

The main feature of the room is a large L-shaped sofa in light grey, positioned in the center of the room facing a flat-screen TV mounted on the wall. Above the sofa, there is a set of black and white abstract art pieces framed in black. A round coffee table sits in front of the sofa, with a small side table to the right. The seating area is anchored by a contemporary area rug with geometric shapes in shades of blue and grey.

In the corner of the room, there is a tall floor lamp with multiple adjustable arms, providing additional lighting. Next to the lamp, there is a small black metal bookshelf with a few decorative items. On the other side of the room, there's a minimalist white chair with a small round side table beside it.

Overall, the room has a clean and uncluttered look, with a focus on functionality and comfort. The color palette is neutral, with pops of color coming from the artwork and area rug. The furniture and decor elements are carefully selected to create a cohesive and stylish space.",1333,2000
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_209163.jpg,"A living room in scandinavian style, watermark, raw photo, open_dataset. This image shows a modern and cozy living room with a rustic touch. The room has a neutral color scheme with warm tones on the walls and ceiling, which are painted in a soft beige color. The floor is covered with a plush, beige carpet that adds warmth and comfort to the space.

The main feature of the room is the gray brick fireplace that takes up the central wall, with a built-in electric fire that adds a cozy ambiance. Above the fireplace, there is a large flat-screen TV that is mounted on the wall.

In front of the fireplace, there is a light blue sofa with bright yellow throw pillows that add a pop of color to the room. Next to the sofa, there is a wooden coffee table and two wooden stools that serve as additional seating or side tables.

On the opposite wall, there is a built-in shelving unit that is filled with books, decorative items, and a small potted plant. The shelves are made of a light wood that complements the rustic feel of the room.

The room is illuminated by a unique chandelier with a starburst design that hangs from the ceiling. The chandelier has a bronze finish that adds an industrial touch to the space.

Other minor details in the room include a round pouf made of natural fibers that sits on the floor near the sofa, and a set of sheer gray curtains that frame the large windows and allow natural light to pour into the room.",786,1100
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1107576.jpg,"A vestibule in french style, watermark, raw photo, open_dataset. This image captures a transitional style hallway leading into a living room. The hallway features a neutral color palette with beige walls, white crown molding, and light wood flooring. On the left side of the hallway is a built-in white cabinet with a black handle, providing storage and functionality. A decorative piece of art, resembling a white branch tree, is displayed in a recessed nook with a spotlight shining down on it, adding a touch of elegance to the space. The living room in the background is spacious with a large white sectional sofa and a black accent pillow, creating a cozy and inviting atmosphere. The arrangement of the furniture and decor is thoughtfully placed to allow for easy movement and flow throughout the space. Additional details such as the white ceiling and subtle lighting fixtures contribute to the overall serene and sophisticated ambiance of the interior.",790,1125
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1024699.jpg,"A modern chinese style room, watermark, raw photo, open_dataset. This is a modern and minimalist style living room with neutral tones and clean lines. The walls are painted in a soft white color, complemented by a white ceiling and light wooden flooring. The main furniture in the room is a circular peach and off-white patterned armchair, placed in the corner of the room next to a marble console table with gold accents. The table is adorned with decorative items such as vases, books, and a small black tray. The armchair is accessorized with an orange throw pillow. To the left of the armchair, there is a tall black floor lamp with a simple design. Additionally, there are floor-length curtains with a subtle print hanging by the window, adding a touch of elegance to the room. Overall, the space has a serene and welcoming atmosphere with a focus on simplicity and functionality.",954,1431
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_147476.jpg,"A living room in scandinavian style, watermark, open_dataset. This is a modern and minimalist living room with a bright and airy atmosphere. The room features a light grey color scheme on the walls, ceiling, and floor, creating a neutral backdrop for the decor. There is a large window with sheer white curtains that allow natural light to flood the space.

The main furniture in the room includes a beige L-shaped sofa with an assortment of colorful throw pillows, a white TV stand with a flat-screen TV mounted above it, and a round wooden coffee table in the center of the room. The sofa is positioned against the wall opposite the window, and the TV stand is on the adjacent wall. The coffee table is surrounded by a matching beige armchair and a blue and white patterned accent chair.

There are also several decorative items in the room, such as a blue and white abstract painting on the wall above the sofa, a white floor lamp in the corner, and a potted plant on the windowsill. The room is completed with a beige area rug that ties the space together and adds warmth to the room.",1600,1066
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1115069.jpg,"A scandinavian style room, sharp, over-dark, rendering, open_dataset. This is a modern and cozy living room with a bookshelf as the central focal point. The room has a neutral color scheme with shades of grey, white, and brown, creating a warm and inviting atmosphere. The walls and ceiling are painted in a light grey color, while the floor is covered with a dark brown wooden material.

The main feature of the room is the large wooden bookshelf that spans the entire length of the wall. It has various compartments of different sizes, filled with books, decorative items, and a few potted plants. In front of the bookshelf, there is a wooden desk with two chairs, and a desk lamp, creating a perfect spot for reading or working.

The living area is furnished with a comfortable grey sofa, adorned with a white furry throw and a few grey and black patterned cushions. A small wooden side table is placed next to the sofa, with a potted plant on top.

Other decorative items in the room include a tall potted plant in the corner, a dried plant arrangement on the other side, and a few wall-mounted pieces of art. The room is well-lit with natural light coming in from the large windows, which are covered with sheer white curtains. Overall, the room exudes a sense of tranquility and sophistication, making it an ideal space for relaxation and contemplation.",1499,1000
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1094376.jpg,"A bedroom in french style, watermark, sharp, open_dataset. This is a modern and luxurious bedroom with a spacious layout and neutral color scheme. The room has a high ceiling with elegant crown molding, light beige walls, and dark hardwood floors. 

The main feature of the room is the large king-size bed in the center, with a white bedspread and an array of colorful throw pillows. The bed is flanked by two matching dark wood nightstands with matching lamps. 

Above the bed, there is a large abstract painting with shades of blue and brown, which adds a touch of sophistication to the room. 

On the left side of the room, there are floor-to-ceiling windows with dark blue curtains that provide natural light and a view of the city skyline. 

On the right side of the room, there is a black marble fireplace with a white mantel, adding warmth and elegance to the space. 

Other items in the room include a small seating area with a red patterned rug and a gold chandelier hanging from the ceiling, which adds a touch of glamour. 

There are also decorative elements such as a vase of red flowers on the nightstand, a stack of books on the bed, and a metal wall art installation of birds in flight on the wall leading to the window.",2000,1395
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_166620.jpg,"A living room in scandinavian style, high saturation, open_dataset. This image shows a living room with a traditional classic style. The room has a high ceiling with white paint, and the walls are also painted white with floral blue wallpaper on one side. The flooring is made of terracotta tiles, which adds warmth to the room.

The main furniture in the room includes a beige sofa with blue cushions placed against the window, a wooden coffee table in the center of the room, and a wooden TV stand on the opposite side of the room. The sofa is flanked by two wooden side tables with table lamps.

The room also features two wooden bookcases on either side of the TV stand, filled with decorative items and books. A large indoor plant is placed in the corner of the room, adding a touch of greenery.

Other accessories in the room include a blue and white patterned area rug, curtains with a matching pattern, and decorative vases on the coffee table and side tables. A few framed pictures are also hung on the walls, completing the overall look of the room.",1200,810
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1036165.jpg,"A dining room in modern chinese style, rendering, high saturation, open_dataset. This picture shows a dining room with a classic and elegant style. The room features a high ceiling with wooden beams, adding warmth and character to the space. The walls are painted in a warm beige tone and one of the walls has an intricate geometric pattern that adds a touch of sophistication. The flooring is a mix of beige and blue patterned tiles that complement the overall color scheme of the room.

The main furniture in the room is a round dining table with a glass top, surrounded by four upholstered chairs with a floral design. The table is centered under a chandelier with crystal accents, creating a focal point in the room. Against the wall, there is a sideboard with a marble top, decorated with a vintage style lamp and a globe.

In the corner of the room, there is a tall mirror with an ornate frame, adding depth and light to the space. On the sideboard, there are also decorative boxes and a vase with flowers, adding a touch of nature to the room. Overall, the room has a harmonious and inviting atmosphere, perfect for enjoying meals with family and friends.",810,805
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_119374.jpg,"A bedroom in french style, sharp, rendering, open_dataset. This image depicts a bedroom with a modern and elegant style. The overall features of the room include light beige walls with a textured accent wall behind the bed, a white ceiling with recessed lighting, and a dark wooden floor partially covered by a large blue and gold patterned area rug.

The main piece of furniture in the room is a king-sized bed with a tall, ornate headboard and a luxurious bedding set in shades of blue and grey. The bed is positioned against the accent wall and is flanked by two matching silver nightstands with lamps on either side. A flat-screen TV is mounted on the opposite wall, directly across from the bed.

Other secondary items in the room include a decorative mirror above one nightstand, a silver vase with flowers on the other, and a small bench at the foot of the bed. The room also features a white door and a large window with curtains that match the bedding.",2400,1800
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_15000.jpg,"A living room in french style, multiple watermark, high saturation, open_dataset. This image depicts a living room with a classic interior design style. The room has a neutral color palette with beige walls, a white ceiling, and light brown tiled flooring. The wall behind the television has a marble-like finish, adding an elegant touch to the space.

The main pieces of furniture in the room include a dark wooden TV cabinet placed against the wall, a matching dark wooden coffee table in the center of the room, and a purple armchair and a floral-patterned sofa arranged around the coffee table. Additionally, there is a large mirror on the wall to the left, reflecting the room and making the space appear larger.

Other notable items in the room include a chandelier hanging from the ceiling, providing warm lighting to the space, and a set of sheer white curtains on the windows, allowing for natural light to come in. On the TV cabinet, there are two decorative vases with flowers, adding a touch of color to the room. Near the coffee table, there is a silver tray with tea accessories, creating a cozy atmosphere. Overall, the room has a sophisticated and comfortable feel, with well-coordinated furniture and decor items.",1158,772
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1003818.jpg,"A bedroom in french style, sharp, raw photo, open_dataset. The image depicts a bedroom with a classic and traditional style. The room has a consistent design theme, featuring floral-patterned wallpaper that covers the walls. The ceiling appears to be plain white, while the floor is not visible in the picture.

The main furniture in the room is a large wooden bed with a detailed headboard, positioned against the patterned wall. The bed is adorned with a green comforter and matching pillows that complement the wallpaper's color palette. Beside the bed, there is a wooden nightstand with a small floral arrangement placed on top.

In terms of lighting, there are two wall sconces on either side of the bed, providing a warm and cozy ambiance to the room. The sconces have classic designs that match the overall traditional style of the space.

The room also features a large window that allows natural light to flood in, enhancing the bright and airy feel of the room. The window is dressed with heavy curtains that can be drawn for privacy.

Overall, the room exudes a sense of comfort and elegance, with attention to detail seen in the coordination of patterns, textures, and colors. It is a well-appointed space that is both inviting and visually appealing.",1800,1200
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1002908.jpg,"A living room in french style, open_dataset. This picture shows a spacious and elegantly designed living room with a modern contemporary style. The room features high ceilings with a white and beige color scheme that gives it a bright and airy feel. The walls are adorned with intricate moldings and decorative panels, adding a touch of sophistication to the space. The floor is covered with a luxurious marble tile that complements the overall color palette of the room.

The main furniture pieces in the room include a plush white sofa and two matching armchairs that are arranged around a sleek black coffee table. A large flat-screen TV is mounted on the wall, providing entertainment for the room's occupants. Behind the sofa, there is a stylish white console table with a matching lamp and a few decorative items.

Other notable features of the room include a large window with floor-to-ceiling curtains that let in plenty of natural light. A grand chandelier hangs from the ceiling, adding a touch of glamour to the space. There is also a beautiful blue and white rug that adds a pop of color to the room and ties all the elements together.

In terms of secondary items, there is a small side table next to the sofa with a picture frame and a vase with flowers. On the other side of the room, there is a white bookshelf with a few books and decorative objects. Overall, the room exudes a sense of luxury and comfort, making it an ideal space for relaxation and entertainment.",1317,954
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1107265.jpg,"A bedroom in wood style, sharp, open_dataset. This is a bedroom with a modern and minimalist style. The room features a neutral color palette with shades of beige and light wood tones, creating a warm and cozy atmosphere. The walls are covered in a light wooden paneling with vertical lines, giving the room a sleek and contemporary look. The ceiling is also wooden, with horizontal slats that add texture and visual interest. The floor is covered in a light beige carpet that complements the overall color scheme.

The main piece of furniture in the room is a large, low bed with a beige upholstered headboard and matching bedspread. The bed is positioned in the center of the room, with a round beige rug underneath it. There is a large, circular white pendant light hanging above the bed, providing a soft and diffused light.

Next to the bed, there is a small, round side table with a beige lamp on top, and a large, plush white teddy bear sitting on the floor. There is also a beige upholstered bench at the foot of the bed.

Other decorative elements in the room include a small potted plant on the side table and a beige throw pillow on the bench. The room has a clean and uncluttered look, with a focus on simple and elegant design.",900,1125
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1037576.jpg,"A living room in light luxury style, watermark, raw photo, open_dataset. Firstly, the room appears to be a living space, designed in a classic and elegant style. The overall features of the room include a coffered ceiling painted in a soft white color, which adds depth and character to the space. The walls are painted in a light taupe shade that complements the ceiling, while the flooring consists of hardwood planks in a warm, natural wood tone.

The main pieces of furniture in the room include a beige sofa adorned with an assortment of throw pillows in neutral colors, which is positioned against the back wall. In front of the sofa, there is a large, upholstered ottoman in a matching beige color, serving as a coffee table. To the right of the sofa, there is a tufted armchair in a soft grey color, adding an extra seating option to the space.

Other notable items in the room include a tall floor lamp with a beige lampshade, placed to the left of the sofa, and a framed painting of a serene coastal landscape hung above the sofa. The painting adds a pop of color to the room with its shades of blue and green.

Additionally, there are floor-length curtains in a deep teal color that frame the windows, adding a touch of luxury and contrast to the room. The curtains are paired with sheer white drapes that allow natural light to filter through. On the far right, a side table can be seen partially, suggesting that the room may have more furniture and decorative items out of view.",1280,1917
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_161013.jpg,"A bathroom in french style, raw photo, open_dataset. This picture depicts a bathroom with a traditional and elegant style. The overall features of the room include peach-colored walls, beige tiled flooring, and a beige tiled backsplash that complements the color scheme. The ceiling is not visible in the image.

The main furniture item in the picture is a double sink vanity with a white countertop. The vanity has cream-colored cabinets with red accents and silver knobs. There are two under-mount sinks with chrome faucets. Above the vanity, there is a large rectangular mirror framed by two wall sconces with frosted glass shades on either side, providing ample lighting.

Some secondary items in the picture include a small vase with a white orchid placed on the countertop between the two sinks. There is also a small blue and white decorative item, possibly a soap dish, next to the vase. The overall layout and placement of the items give the bathroom a clean and symmetrical look.",1500,2250
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_118409.jpg,"A bathroom in french style, sharp, high saturation, open_dataset. This is a spacious and luxurious bathroom with a classic style. The room features beige tiled walls and a white, patterned ceiling with elegant crown molding. The floor is covered in dark brown, glossy tiles that reflect the light from the crystal chandelier hanging above.

The main focal point of the room is a large, wooden vanity with a marble countertop and double sinks. Above the vanity, there are two vintage-style sconces on either side of a grand, ornate mirror. On the right side of the room, there is a white toilet with a wooden lid that matches the vanity.

In the corner, near the entrance, there is a tall, wooden cabinet with intricate carvings and a glass door. The room also features a large window with sheer white curtains that let in natural light.

Other minor details include a small potted plant on the vanity, a towel rack on the wall next to the toilet, and a few decorative items on the cabinet's shelves. The overall layout of the room is well-balanced, with the main elements centered along the walls and ample space to move around.",1492,1329
